Name,AF (mT),x (emu),y (emu),z (emu)
686,2.5,1.91E-06,2.06E-06,5.62E-05
686,5,2.09E-06,4.35E-07,4.40E-05
686,7.5,1.92E-06,1.82E-06,3.66E-05
686,10,1.80E-06,-2.09E-07,3.09E-05
686,12.5,1.92E-06,2.81E-07,2.77E-05
686,15,1.57E-06,7.56E-07,2.49E-05
686,17.5,3.47E-07,2.69E-07,2.35E-05
686,20,1.86E-06,5.02E-07,2.18E-05
686,25,1.42E-06,1.00E-06,1.93E-05
686,30,9.01E-07,1.50E-06,1.68E-05
686,35,3.80E-07,1.59E-06,1.43E-05
686,40,-1.41E-07,1.69E-06,1.26E-05
686,45,-6.35E-07,1.78E-06,1.10E-05
686,50,-1.13E-06,1.58E-06,9.38E-06
686,60,-1.62E-06,1.38E-06,7.63E-06
686,70,-1.42E-06,1.18E-06,5.87E-06
686,80,-1.22E-06,5.12E-07,4.12E-06
686,90,-1.02E-06,-1.60E-07,3.74E-06
686,100,2.09E-06,-8.32E-07,3.35E-06
687,0,6.73E-06,4.10E-06,6.19E-05
687,2.5,6.69E-06,1.99E-06,5.31E-05
687,5,6.62E-06,1.71E-06,4.37E-05
687,7.5,6.41E-06,2.79E-06,3.81E-05
687,10,5.54E-06,6.90E-07,3.36E-05
687,12.5,5.26E-06,1.23E-06,3.11E-05
687,15,5.82E-06,4.86E-07,2.90E-05
687,17.5,4.49E-06,2.00E-06,2.72E-05
687,20,4.39E-06,1.42E-06,2.47E-05
687,25,3.35E-06,1.26E-06,2.17E-05
687,30,3.18E-06,1.09E-06,1.88E-05
687,35,3.00E-06,1.19E-06,1.59E-05
687,40,2.83E-06,1.28E-06,1.41E-05
687,45,2.06E-06,1.38E-06,1.24E-05
687,50,1.28E-06,1.20E-06,1.07E-05
687,60,5.10E-07,1.03E-06,9.10E-06
687,70,-2.83E-07,8.52E-07,7.47E-06
687,80,-1.08E-06,7.44E-07,5.84E-06
687,90,-1.87E-06,6.36E-07,4.81E-06
687,100,1.97E-06,5.28E-07,3.79E-06
689,0,4.80E-06,-4.25E-06,7.10E-05
689,2.5,4.71E-06,-4.06E-06,5.86E-05
689,5,4.22E-06,-5.44E-06,4.51E-05
689,7.5,4.09E-06,-5.64E-06,3.73E-05
689,10,4.04E-06,-3.73E-06,3.11E-05
689,12.5,4.42E-06,-4.64E-06,2.77E-05
689,15,4.42E-06,-4.03E-06,2.42E-05
689,17.5,3.62E-06,-2.87E-06,2.19E-05
689,20,3.55E-06,-2.05E-06,2.01E-05
689,25,2.76E-06,-1.77E-06,1.75E-05
689,30,2.30E-06,-1.49E-06,1.48E-05
689,35,1.84E-06,-1.38E-06,1.21E-05
689,40,1.37E-06,-1.26E-06,1.04E-05
689,45,7.28E-07,-1.14E-06,8.65E-06
689,50,8.09E-08,-6.86E-07,6.90E-06
689,60,-5.66E-07,-2.30E-07,5.94E-06
689,70,-7.23E-07,2.27E-07,4.97E-06
689,80,-8.80E-07,7.27E-08,4.00E-06
689,90,-1.04E-06,-8.13E-08,2.64E-06
689,100,1.87E-06,-2.35E-07,1.28E-06
690,0,2.76E-07,-3.41E-06,6.64E-05
690,2.5,7.88E-07,1.05E-07,5.37E-05
690,5,1.55E-06,-1.51E-06,4.09E-05
690,7.5,1.81E-06,-1.41E-06,3.39E-05
690,10,1.49E-06,-1.67E-07,2.83E-05
690,12.5,1.72E-06,-1.30E-06,2.53E-05
690,15,1.65E-06,-6.04E-07,2.23E-05
690,17.5,5.06E-07,-1.24E-06,2.04E-05
690,20,1.10E-06,3.64E-07,1.83E-05
690,25,-8.32E-09,1.05E-07,1.60E-05
690,30,-4.92E-07,-1.55E-07,1.37E-05
690,35,-9.76E-07,1.67E-07,1.14E-05
690,40,-1.46E-06,4.89E-07,1.03E-05
690,45,-1.53E-06,8.10E-07,9.23E-06
690,50,-1.60E-06,4.27E-07,8.16E-06
690,60,-1.67E-06,4.45E-08,7.17E-06
690,70,-1.89E-06,-3.39E-07,6.17E-06
690,80,-2.11E-06,-3.48E-07,5.18E-06
690,90,-2.33E-06,-3.57E-07,4.15E-06
690,100,2.43E-06,-3.66E-07,3.12E-06
692,0,-1.77E-06,4.15E-06,3.51E-05
692,2.5,-1.46E-06,4.80E-06,3.03E-05
692,5,-1.03E-06,3.39E-06,2.52E-05
692,7.5,-4.74E-07,3.14E-06,2.09E-05
692,10,-3.62E-07,2.73E-06,1.77E-05
692,12.5,-4.68E-07,3.66E-06,1.54E-05
692,15,-3.07E-07,2.14E-06,1.37E-05
692,17.5,-9.56E-07,2.39E-06,1.21E-05
692,20,-4.61E-07,3.10E-06,1.07E-05
692,25,-1.22E-06,2.38E-06,9.18E-06
692,30,-1.01E-06,1.65E-06,7.65E-06
692,35,-7.98E-07,1.28E-06,6.12E-06
692,40,-5.86E-07,9.06E-07,5.05E-06
692,45,-9.84E-07,5.33E-07,3.97E-06
692,50,-1.38E-06,4.15E-07,2.90E-06
692,60,-1.78E-06,2.96E-07,2.41E-06
692,70,-1.68E-06,1.77E-07,1.92E-06
692,80,-1.57E-06,1.92E-10,1.43E-06
692,90,-1.47E-06,-1.77E-07,3.86E-07
692,100,1.36E-08,-3.54E-07,-6.57E-07
